id,book,chapter,verse,language,sentence_length,number_words,clause_length
16036,1QS,7,32,Hebrew,1,8,8.0
16041,1QS,7,33,Hebrew,4,17,4.25
16043,1QS,7,33,Hebrew,2,7,3.5
16044,1QS,7,33,Hebrew,1,6,6.0
16050,1QS,7,33,Hebrew,6,23,3.8333333333333335
16052,1QS,7,34,Hebrew,2,6,3.0
16053,1QS,7,34,Hebrew,1,11,11.0
16054,1QS,7,34,Hebrew,1,7,7.0
16058,1QS,7,36,Hebrew,4,28,7.0
16059,1QS,7,36,Hebrew,1,6,6.0
16060,1QS,7,36,Hebrew,1,5,5.0
16063,1QS,7,37,Hebrew,3,13,4.333333333333333
16064,1QS,7,38,Hebrew,1,7,7.0
16065,1QS,7,38,Hebrew,1,8,8.0
16070,1QS,7,39,Hebrew,5,29,5.8
16072,1QS,7,40,Hebrew,2,9,4.5
16073,1QS,7,40,Hebrew,1,6,6.0
16074,1QS,7,40,Hebrew,1,21,21.0
16075,1QS,7,41,Hebrew,1,10,10.0
16076,1QS,7,42,Hebrew,1,13,13.0
16077,1QS,7,42,Hebrew,1,3,3.0
16078,1QS,7,43,Hebrew,1,6,6.0
16079,1QS,7,43,Hebrew,1,6,6.0
16080,1QS,7,44,Hebrew,1,5,5.0
16081,1QS,7,44,Hebrew,1,7,7.0
16082,1QS,7,44,Hebrew,1,6,6.0
16084,1QS,7,45,Hebrew,2,8,4.0
16085,1QS,7,45,Hebrew,1,6,6.0
16087,1QS,7,46,Hebrew,2,4,2.0
16088,1QS,7,46,Hebrew,1,7,7.0
16089,1QS,7,47,Hebrew,1,6,6.0
16090,1QS,7,47,Hebrew,1,8,8.0
16091,1QS,7,48,Hebrew,1,5,5.0
16100,1QS,7,50,Hebrew,3,17,5.666666666666667
16093,1QS,7,48,Hebrew,1,7,7.0
16094,1QS,7,49,Hebrew,1,5,5.0
16095,1QS,7,49,Hebrew,1,7,7.0
16096,1QS,7,50,Hebrew,1,6,6.0
16097,1QS,7,50,Hebrew,1,10,10.0
16098,1QS,7,50,Hebrew,1,13,13.0
16101,1QS,7,51,Hebrew,1,2,2.0
16103,1QS,7,51,Hebrew,2,9,4.5
16108,1QS,7,52,Hebrew,4,20,5.0
16105,1QS,7,52,Hebrew,1,6,6.0
16109,1QS,7,53,Hebrew,1,7,7.0
16110,1QS,7,53,Hebrew,1,7,7.0
16111,1QS,7,54,Hebrew,1,4,4.0
16112,1QS,7,54,Hebrew,1,8,8.0
16117,1QS,7,55,Hebrew,5,36,7.2
16119,1QS,7,56,Hebrew,2,8,4.0
16120,1QS,7,57,Hebrew,1,11,11.0
16122,1QS,7,58,Hebrew,2,8,4.0
16124,1QS,7,59,Hebrew,2,6,3.0
16125,1QS,7,59,Hebrew,1,5,5.0
16127,1QS,7,60,Hebrew,2,5,2.5
16128,1QS,7,60,Hebrew,1,6,6.0
16129,1QS,7,61,Hebrew,1,6,6.0
16130,1QS,7,61,Hebrew,1,5,5.0
16131,Kuntillet_Ajrud,18,1,Hebrew,1,1,1.0
16132,Kuntillet_Ajrud,18,1,Hebrew,1,1,1.0
16133,Kuntillet_Ajrud,18,1,Hebrew,1,1,1.0
16134,Kuntillet_Ajrud,18,1,Hebrew,1,1,1.0
16135,Kuntillet_Ajrud,18,1,Hebrew,1,1,1.0
16136,Kuntillet_Ajrud,18,1,Hebrew,1,6,6.0
16137,Kuntillet_Ajrud,18,1,Hebrew,1,1,1.0
16138,Kuntillet_Ajrud,18,1,Hebrew,1,10,10.0
